Title,Author,Duration (seconds),Video URL
10 min I Meditazione guidata per calmare l’ANSIA,Giusi Valentini - Happy Daily,639,https://www.youtube.com/watch?v=yAuCawC_JUE
MEDITAZIONE GUIDATA - Rilasciare ansia e stress,Valentina P.,716,https://www.youtube.com/watch?v=geglGDDNOJM
Pace Interiore e Silenzio della Mente - Meditazione Guidata,La Via Della Consapevolezza,1849,https://www.youtube.com/watch?v=7HOEhakhQKQ
10 min meditazione guidata✨ per manifestare✨& visualizzare🧿 i propri sogni💎,soloeleonora,749,https://www.youtube.com/watch?v=-FxXF1YlReU
15 minuti di meditazione guidata | Focus respirazione (Anapana),Virginia Gambardella,919,https://www.youtube.com/watch?v=Ikq0zuE7ciI
Meditazione guidata quotidiana di 10 minuti. Rilassamento e allineamento spirituale,Spirituality Life,600,https://www.youtube.com/watch?v=uq3YjJCzb_8
Tranquillità Mentale - Meditazione Guidata,La Via Della Consapevolezza,1212,https://www.youtube.com/watch?v=xMl7EVCjvJ4
Meditazione di Inizio Giornata - Mindfulness del Mattino,Andrea Ginko,774,https://www.youtube.com/watch?v=6v2SQyxMxSg
GUARISCI LE TUE VITE PASSATE 🧘🏻‍♀️ MEDITAZIONE GUIDATA 🧘🏻‍♂️,Guida Celeste,629,https://www.youtube.com/watch?v=yUSgqJDHfYs
Meditazione Guidata per lasciare andare Ansia e Stress,Denise Dellagiacoma,472,https://www.youtube.com/watch?v=AX2Rw1b4L6s
"Meditazione Guidata per Rilassamento, Ansia, Depressione, Respirazione con Musica Relax",MeditationRelaxClub - Sleep Music & Mindfulness,1261,https://www.youtube.com/watch?v=fgye3en2mv8
Meditazione Guidata ● LASCIA ANDARE ⎮10 minuti di quiete,Yoga con Celeste,712,https://www.youtube.com/watch?v=rjR1ov6vLr8
Meditazione guidata per rilassare mente e corpo: lascia andare le preoccupazioni,La Via Della Consapevolezza,1196,https://www.youtube.com/watch?v=gpUFJqgPTn0
Meditazione breve 5 min. - l'importanza dell'intenzione,Denise Dellagiacoma,301,https://www.youtube.com/watch?v=Pb79wFc9hXo
Un viaggio di 10 minuti verso la pace interiore | Meditazione guidata,Andrea Ginko,652,https://www.youtube.com/watch?v=NYNz_tOX7og
Ti Aiuto a Dissolvere l'Ansia - Meditazione Guidata,La Via Della Consapevolezza,1885,https://www.youtube.com/watch?v=kcA6qEKdu_s
Meditazione Guidata Italiano - Il Respiro Che Guarisce,La Via Della Consapevolezza,478,https://www.youtube.com/watch?v=F3Hg7YZAjp0
Calmare Ansia e Panico con il respiro - Meditazione Guidata Italiano,La Via Della Consapevolezza,574,https://www.youtube.com/watch?v=9tvdXdZWPlU
