Title,Artist(s),Album,Duration (ms),Track URL
Rumore del mare rilassante - Suoni della natura,Rilassamento e calma per me,"La freschezza del mare (Suoni del mare per rilassamento, riposo e meditazione)",594337,https://open.spotify.com/track/4xJk6aEZRMEAAW96IgdElt
"Ocean Waves - Vagues De L'océan, Onde Dell'oceano, Mare Impetuoso, Olas Oceánicas, Olas del Mar (feat. Sea Rushing)",Ocean Waves,"Ocean Waves - Vagues De L'océan, Onde Dell'oceano, Mare Impetuoso, Olas Oceánicas, Olas del Mar (feat. Sea Rushing) - Single",599000,https://open.spotify.com/track/6w8N3CVncZw6FONqewkP9V
3-D Rumore del Mare: Suoni Naturali,Suoni Naturali,3-D Rumore del Mare: Suoni Naturali,595563,https://open.spotify.com/track/2f8qDhYdhLaBCQiltOnqzs
White Noise Rain and River,Relaxing Music,Natural Meditation,590000,https://open.spotify.com/track/31PvTp83yTSDjuJk49XvyM
Fire Crackle At the Lake,Relaxing Music,Natural Meditation,590000,https://open.spotify.com/track/7FiypWS0ReneNRzdJjlwzh
Ocean Relax,Relaxing Music,Natural Meditation,590000,https://open.spotify.com/track/63RQNW2LrN1oeKPSeSZnvz
Natural Meditation,Relaxing Music,Natural Meditation,590000,https://open.spotify.com/track/39WqNAvLMHeLQe4Qxb5nST
Thunderstorm and Rain Music,Relaxing Music,Natural Meditation,590000,https://open.spotify.com/track/1GzKtUkbez0a5k7rkDJNS4
Soft Sounds of the Night,Relaxing Music,Natural Meditation,599000,https://open.spotify.com/track/7fxG8veZIJJOx8URFHP5Db
Nature Sounds of the Ocean,Sounds Of Nature,Real Nature Sounds,590000,https://open.spotify.com/track/4WvqKCm5EqAZoX3iQyzxF5
"River, Thunder & Rain - Calm Excitement",California Yoga Studios,"Yoga - Real Nature Sounds for Deep Harmony, Meditation, Sleep Relaxation, Baby Sound Massage, Spa and Music Therapy",599000,https://open.spotify.com/track/11wAsm2VA0ViU3LXKYT2M9
Hazard's Beach,Ocean Sounds,Ocean Sounds of Newport,860000,https://open.spotify.com/track/1ZnfAsTkNvI3bLayz4GddO
Tranquil Babbling Brook for Deep Sleep,Nature Sounds for Sleep and Relaxation,Relaxing Nature Sound,595000,https://open.spotify.com/track/6aut43db8b2jfUc6iWXVNo
Gentle Rivers and Streams,Natural Sounds,"Ultimate Natural Sounds, Vol. 1",587786,https://open.spotify.com/track/0rEsAjZGfBJ7AuEsxVo791
